text,label
Nathan is going to the pool alone and David is not feeling like swimming due to the rain. They have a disagreement about a song.,1
Lucas is busy juggling work and school. He will meet with Giles at 8pm on Saturday.,0
"Bonnie is at Marco's bar with Lola and Abbie, and Kyle comes to pick her up because she is drunk and possibly high.",1
George will bring Sasha 120 dollars to pay for a wallet of his choice.,0
"Kelly and Crista are chatting about their baking plans, with Kelly making Rocky Road bars and Crista making a simple cake with cherries and almonds. They discuss their favorite Bake Off recipes and Crista offers to help with the",1
Lincoln has received Andrew's email and will review it soon. ,0
"Lilia is sitting with her friends, some of whom are gay. Lilia and Randall find being gay awkward but they laugh it off.",0
"Jessica lost her banana bread recipe and is making brownies for breakfast instead. George suggests corn muffins and they discuss adding bacon, jalapeno, and cheese to them. George also mentions that he cheats by using J",1
"Rory's applying for an Australian visa. She decides to ask HR if she should select business or tourist option because neither Mikey, Maureen, Luke nor Daisy can't give her a clear answer.",0
"Len advises Paul to call his wife, informing her that Paul has been out in Stroud picking up his nan's wardrobe without a signal, and that he owes Len one. Paul thanks Len and promises to sort himself out",1
 Melissa and Tanner both like hawaian pizza a lot. Melissa mentions that in Poland people eat pizza with sauces. Tanner tried it and liked it.,0
"The third-year students who talked to Oli about the statistics exam said it was the hardest exam ever, with questions displayed on the screen for one minute each before disappearing, making it impossible to go back and change answers. The exam is",1
"Billie is upset and exaggerates the situation after an incident with Nino. Toby tries to calm her down and assures her that Nino is not hateful, but Billie decides to change her identity and go into witness protection.",1
"For the International Management project on the 13 December, Essa will do the introduction, Tankred will do the education. They will meet 30 minutes before the class to discuss the presentation with Louise.",0
Denis is a bit hangover. Yesterday Jake was really drunk and Denis had to help him enter a cab. Jake almost fell asleep at the party and drank a couple of shots. Jake didn't eat anything since 4 that day. Jake and Denis will eat something before they drink next time.,0
Joyce shares pictures of her kayaking for 6 hours. She will stay there overnight and return tomorrow.,0
"Jimmy will watch a movie with Jake after class on Friday. Dom needs to help out his mom, so he cannot join Jimmy and Jake.",0
"Ellie tells Melanie that there is no need for her to come to the place since everyone is leaving in an hour, and Melanie apologizes for her mistake.",1
